Name,Runs,c,d,e,f,g,h,i,SR,k,l,m,n,clustno
Sourav Ganguly,38,59,56,3,1348,91,25.43,1262,106.81,0,7,137,42,2
Tillakaratne Dilshan,47,52,50,7,1153,76,26.81,1007,114.49,0,9,140,24,2
Cameron White,56,47,45,9,954,78,26.5,755,126.35,0,6,76,36,2
Brad Hodge,37,66,63,21,1400,73,33.33,1118,125.22,0,6,122,43,2
Sanju Samson,50,52,48,6,1040,76,24.76,873,119.12,0,5,80,38,2
Andrew Symonds,54,39,36,9,974,117,36.07,750,129.86,1,5,74,41,2
Wriddhiman Saha,40,90,69,18,1323,115,25.94,1004,131.77,1,5,110,49,2
Manvinder Bisla,62,39,39,1,798,92,21.0,702,113.67,0,4,93,23,2
Mayank Agarwal,64,50,45,2,788,68,18.32,633,124.48,0,3,79,33,2
Lendl Simmons,57,22,22,2,942,100,47.1,740,127.29,1,9,99,36,2
Aaron Finch,42,52,51,5,1304,88,28.34,1049,124.3,0,11,145,40,2
Matthew Hayden,49,32,32,2,1107,93,36.9,805,137.51,0,8,121,44,2
David Hussey,41,64,61,12,1322,71,26.97,1075,122.97,0,5,90,60,2
Karun Nair,61,41,37,4,877,83,26.57,686,127.84,0,7,96,20,2
Harbhajan Singh,65,125,77,30,783,64,16.65,545,143.66,0,1,76,40,2
Subramaniam Badrinath,36,95,67,20,1441,71,30.65,1212,118.89,0,11,154,28,2
Albie Morkel,55,91,68,28,974,73,24.35,686,141.98,0,3,61,55,2
Venugopal Rao,53,65,54,10,985,71,22.38,836,117.82,0,3,77,37,2
Ross Taylor,51,55,54,14,1017,81,25.42,822,123.72,0,3,66,46,2
Herschelle Gibbs,60,36,36,4,886,69,27.68,807,109.78,0,6,83,31,2
Ravindra Jadeja,33,126,99,31,1574,48,23.14,1297,121.35,0,0,112,53,2
Irfan Pathan,48,102,81,29,1137,60,21.86,943,120.57,0,1,87,37,2
Francois du Plessis,43,51,45,3,1287,73,30.64,1005,128.05,0,8,109,38,2
Saurabh Tiwary,46,80,63,19,1224,61,27.81,1024,119.53,0,6,84,45,2
Dwayne Bravo,44,106,83,28,1262,70,22.94,999,126.32,0,4,102,48,2
Eoin Morgan,63,48,41,5,789,66,21.91,643,122.7,0,4,66,32,2
Glenn Maxwell,59,43,43,4,918,95,23.53,568,161.61,0,6,76,56,2
Naman Ojha,35,98,88,18,1474,94,21.05,1244,118.48,0,6,119,76,2
David Miller,34,61,60,19,1480,101,36.09,1025,144.39,1,8,100,74,2
Steve Smith,45,54,47,13,1231,101,36.2,906,135.87,1,2,112,33,2
Manoj Tiwary,39,78,68,22,1324,75,28.78,1169,113.25,0,5,121,28,2
Mandeep Singh,58,59,49,4,924,77,20.53,743,124.36,0,4,113,14,2
Kevin Pietersen,52,36,36,9,1001,103,37.07,743,134.72,1,4,91,40,2
