Name,Runs,c,d,e,f,g,h,i,SR,k,l,m,clustno
James Faulkner,36,52,52,178.1,1520,53,5/16,28.67,8.53,20.16,0,2,4
Rajat Bhatia,26,92,88,265.4,1965,69,4/15,28.47,7.39,23.1,1,0,4
Dhawal Kulkarni,24,66,66,217.1,1708,73,4/14,23.39,7.86,17.84,1,0,4
Siddharth Trivedi,28,76,75,251.0,1904,65,4/25,29.29,7.58,23.16,1,0,4
Shane Warne,32,55,54,199.0,1447,57,4/21,25.38,7.27,20.94,1,0,4
Ravindra Jadeja,19,126,100,282.5,2157,77,5/16,28.01,7.62,22.03,3,1,4
Lakshmipathy Balaji,21,73,73,251.5,2029,76,5/24,26.69,8.05,19.88,3,1,4
Sunil Narine,13,66,66,262.0,1619,85,5/19,19.04,6.17,18.49,6,1,4
Kieron Pollard,34,106,80,198.0,1740,56,4/44,31.07,8.78,21.21,1,0,4
Ishant Sharma,31,70,70,254.5,2052,59,5/12,34.77,8.05,25.91,0,1,4
Munaf Patel,23,61,61,218.5,1641,73,5/21,22.47,7.49,17.98,2,1,4
Shane Watson,17,94,86,283.2,2186,81,4/29,26.98,7.71,20.98,1,0,4
Bhuvneshwar Kumar,14,76,76,277.5,1970,85,4/14,23.17,7.09,19.61,2,0,4
Ashok Dinda,27,75,72,241.4,1952,67,4/18,29.13,8.07,21.64,1,0,4
Mohit Sharma,25,61,61,210.0,1666,70,4/14,23.8,7.93,18.0,1,0,4
Muttiah Muralitharan,30,66,66,254.0,1696,63,3/11,26.92,6.67,24.19,0,0,4
Morne Morkel,20,70,70,271.3,2089,77,4/20,27.12,7.69,21.15,1,0,4
